run_accession	sample_alias	sample_accession	sample_title	experiment_accession	fastq_ftp	submitted_ftp	submitted_md5	submitted_bytes	library_strategy	library_source	library_selection	instrument_platform	read_count	base_count
ERR4059568	VK154	SAMEA6799930	Viking Age human sample	ERX4058353	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059568/ERR4059568.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059568/VK154.final.bam	58f8d9f508185d93243361278dd72beb	9420604794	WGS	GENOMIC	RANDOM PCR	ILLUMINA	141157285	9104824102
ERR4059571	VK157	SAMEA6799933	Viking Age human sample	ERX4058356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059571/ERR4059571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059571/VK157.final.bam	428af6f8084e650b3e67225c0ec561a6	3525149065	WGS	GENOMIC	RANDOM PCR	ILLUMINA	56051103	3029089721
ERR4059579	VK166	SAMEA6799941	Viking Age human sample	ERX4058364	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059579/ERR4059579.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059579/VK166.final.bam	8d460abde3f47990c950cf89db3f026a	14422051033	WGS	GENOMIC	RANDOM PCR	ILLUMINA	207409901	13925182979
ERR4059580	VK167	SAMEA6799942	Viking Age human sample	ERX4058365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059580/ERR4059580.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059580/VK167.final.bam	130db193260cf86c8bf4406de1c954de	2945989832	WGS	GENOMIC	RANDOM PCR	ILLUMINA	43645240	2793640126
ERR4059581	VK168	SAMEA6799943	Viking Age human sample	ERX4058366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059581/ERR4059581.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059581/VK168.final.bam	1dcb31f25c317280f8e4e2f3fa4042e2	3971000832	WGS	GENOMIC	RANDOM PCR	ILLUMINA	58501441	3681920978
ERR4059583	VK171	SAMEA6799945	Viking Age human sample	ERX4058368	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059583/ERR4059583.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059583/VK171.final.bam	d15fbc020bc5bca0c615209afc11b3c5	473781173	WGS	GENOMIC	RANDOM PCR	ILLUMINA	7027695	342064538
ERR4059586	VK174	SAMEA6799948	Viking Age human sample	ERX4058371	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059586/ERR4059586.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059586/VK174.final.bam	b9dcc7fe51ba9e91d000b964ed073f96	3193589084	WGS	GENOMIC	RANDOM PCR	ILLUMINA	46261355	2907410859
ERR4059594	VK183	SAMEA6799956	Viking Age human sample	ERX4058379	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059594/ERR4059594.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059594/VK183.final.bam	658130686a3f7c811e18031700d41bf0	1831306307	WGS	GENOMIC	RANDOM PCR	ILLUMINA	26284597	1655842456
ERR4059597	VK186	SAMEA6799959	Viking Age human sample	ERX4058382	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059597/ERR4059597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059597/VK186.final.bam	8ddf4eafe9419967f834c31f100b16ab	2416483263	WGS	GENOMIC	RANDOM PCR	ILLUMINA	33355143	2518116951
ERR4059599	VK189	SAMEA6799961	Viking Age human sample	ERX4058384	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059599/ERR4059599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059599/VK189.final.bam	33034b3c0027aeec614b47743ea78f0b	210014929	WGS	GENOMIC	RANDOM PCR	ILLUMINA	3012908	177679296
ERR4059605	VK201	SAMEA6799967	Viking Age human sample	ERX4058390	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059605/ERR4059605.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059605/VK201.final.bam	ce06c7b9ed9bf66875422d7e7038e4c3	4037684230	WGS	GENOMIC	RANDOM PCR	ILLUMINA	61701518	4329095409
ERR4059607	VK203	SAMEA6799969	Viking Age human sample	ERX4058392	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059607/ERR4059607.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059607/VK203.final.bam	4df71f069267bd70b5dc67c56da3dd76	3933001072	WGS	GENOMIC	RANDOM PCR	ILLUMINA	59132681	4049754068
ERR4059612	VK208	SAMEA6799974	Viking Age human sample	ERX4058397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059612/ERR4059612.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059612/VK208.final.bam	5aa3d68e9060479378688ffcf6a08dbc	212252922	WGS	GENOMIC	RANDOM PCR	ILLUMINA	3008248	201965836
ERR4059613	VK210	SAMEA6799975	Viking Age human sample	ERX4058398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059613/ERR4059613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059613/VK210.final.bam	53238c6c5dc5da3e6a1a55e04dc943f4	166049366	WGS	GENOMIC	RANDOM PCR	ILLUMINA	2509141	139137685
ERR4059615	VK212	SAMEA6799977	Viking Age human sample	ERX4058400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059615/ERR4059615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059615/VK212.final.bam	d7830c877a246bd554292617d066d0d8	1157349512	WGS	GENOMIC	RANDOM PCR	ILLUMINA	17747470	1049469983
ERR4059617	VK214	SAMEA6799979	Ancient human sample	ERX4058402	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059617/ERR4059617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059617/VK214.final.bam	d4616bded5d865d7ce3216a0547838e7	537765213	WGS	GENOMIC	RANDOM PCR	ILLUMINA	9619018	405287245
ERR4059618	VK215	SAMEA6799980	Viking Age human sample	ERX4058403	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059618/ERR4059618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059618/VK215.final.bam	1c0da2d89bd6ea5bb1275f5413bac019	216677043	WGS	GENOMIC	RANDOM PCR	ILLUMINA	3151297	206438960
ERR4059620	VK217	SAMEA6799982	Viking Age human sample	ERX4058405	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059620/ERR4059620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059620/VK217.final.bam	dffe940499331a12c4df770c2ee80fa2	472307597	WGS	GENOMIC	RANDOM PCR	ILLUMINA	7224679	427523239
ERR4059621	VK218	SAMEA6799983	Viking Age human sample	ERX4058406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059621/ERR4059621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059621/VK218.final.bam	3a02bec181886aae70a2a549142327b0	1831843749	WGS	GENOMIC	RANDOM PCR	ILLUMINA	28107120	1801934404
ERR4059622	VK219	SAMEA6799984	Viking Age human sample	ERX4058407	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059622/ERR4059622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059622/VK219.final.bam	f2431289f28f4b8e45ad20048421c059	4651170513	WGS	GENOMIC	RANDOM PCR	ILLUMINA	72461604	4893677439
ERR4059624	VK221	SAMEA6799986	Viking Age human sample	ERX4058409	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059624/ERR4059624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059624/VK221.final.bam	05bbd2aede551772b6deac1392dfb947	5474782365	WGS	GENOMIC	RANDOM PCR	ILLUMINA	89133081	6047395307
ERR4059629	VK226	SAMEA6799991	Viking Age human sample	ERX4058414	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059629/ERR4059629.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059629/VK226.final.bam	fa1cf653dd47bfdd0dd008e8e3937489	153327022	WGS	GENOMIC	RANDOM PCR	ILLUMINA	2161346	126058554
ERR4059633	VK232	SAMEA6799995	Viking Age human sample	ERX4058418	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059633/ERR4059633.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059633/VK232.final.bam	50e30fae9247904829dafbaa3030ecee	1068474759	WGS	GENOMIC	RANDOM PCR	ILLUMINA	16425771	976993768
ERR4059634	VK234	SAMEA6799996	Ancient human sample	ERX4058419	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059634/ERR4059634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059634/VK234.final.bam	991f6087f67896bd2aae6b55c88aed1a	2266436709	WGS	GENOMIC	RANDOM PCR	ILLUMINA	32071005	2189331635
ERR4059636	VK237	SAMEA6799998	Ancient human sample	ERX4058421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059636/ERR4059636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059636/VK237.final.bam	6bf0ed2630a9bd81d896e53714db09ee	5257681660	WGS	GENOMIC	RANDOM PCR	ILLUMINA	80207571	5068211022
ERR4059637	VK238	SAMEA6799999	Ancient human sample	ERX4058422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059637/ERR4059637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059637/VK238.final.bam	b6f606d669230646d29da576986cd4b6	4436934565	WGS	GENOMIC	RANDOM PCR	ILLUMINA	66596996	4195207723
ERR4059640	VK241	SAMEA6800002	Ancient human sample	ERX4058425	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059640/ERR4059640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059640/VK241.final.bam	655a99a3bc36f2bbcf23adf73aa7d6b7	2682747909	WGS	GENOMIC	RANDOM PCR	ILLUMINA	38755140	2395778673
ERR4059643	VK245	SAMEA6800005	Ancient human sample	ERX4058428	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059643/ERR4059643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059643/VK245.final.bam	4e4dec9f7ee104db98400f65d1fbe14c	3376904335	WGS	GENOMIC	RANDOM PCR	ILLUMINA	49476304	3340167188
ERR4059649	VK254	SAMEA6800011	Viking Age human sample	ERX4058434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059649/ERR4059649.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059649/VK254.final.bam	319c40c76cdf4599971908f2a90f6d2d	1726038304	WGS	GENOMIC	RANDOM PCR	ILLUMINA	25581693	1615862401
ERR4059655	VK260	SAMEA6800017	Viking Age human sample	ERX4058440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059655/ERR4059655.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059655/VK260.final.bam	baf6f155bd6eed700b7a99a26c24a173	3079906531	WGS	GENOMIC	RANDOM PCR	ILLUMINA	44402287	2800027095
ERR4059656	VK261	SAMEA6800018	Viking Age human sample	ERX4058441	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059656/ERR4059656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059656/VK261.final.bam	f7541890dd3e6ac5fece765f613a9656	3555171277	WGS	GENOMIC	RANDOM PCR	ILLUMINA	52208552	3246307928
ERR4059666	VK272	SAMEA6800028	Viking Age human sample	ERX4058451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059666/ERR4059666.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059666/VK272.final.bam	f3bd900274abd660f87c815b70b7dd69	688528121	WGS	GENOMIC	RANDOM PCR	ILLUMINA	10310741	610836312
ERR4059670	VK276	SAMEA6800032	Viking Age human sample	ERX4058455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059670/ERR4059670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059670/VK276.final.bam	36f5814f6932eb70cb3756e3fef382e3	381660621	WGS	GENOMIC	RANDOM PCR	ILLUMINA	5713677	366272787
