run_accession	sample_alias	sample_accession	sample_title	experiment_accession	fastq_ftp	submitted_ftp	submitted_md5	submitted_bytes	library_strategy	library_source	library_selection	instrument_platform	read_count	base_count
ERR3324571	I11519	SAMEA5607614	Ancient Central and South Asia	ERX3349306	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/001/ERR3324571/ERR3324571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324571/I11519.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324571/I11519.bam.bai	697f241730caf31c0880fa3296689d0c;45e887a7b26dca8e7db6809254b952e5	86444419;5708648	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1699517	69767584
ERR3324573	I11027	SAMEA5607616	Ancient Central and South Asia	ERX3349308	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324573/ERR3324573.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324573/I11027.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324573/I11027.bam.bai	88bc52ae27b49b2b185164783f7563e2;dd1c3b7a33aa58054100907541aa98e2	626041097;6099552	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	12008929	569905329
ERR3324575	I4157	SAMEA5607618	Ancient Central and South Asia	ERX3349310	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324575/ERR3324575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324575/I4157.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324575/I4157.bam.bai	9bc84f62710cfc78ac86ec9eb106471b;b7995f443e9239e8a0ad60cf8add527c	89027842;5766872	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1609447	84885230
ERR3324576	I4159	SAMEA5607619	Ancient Central and South Asia	ERX3349311	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324576/ERR3324576.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324576/I4159.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324576/I4159.bam.bai	f3e5dfbbb4d3d73d49d1d46d9b742464;bc4454c97d07676079649a4a16f2d907	89744200;5735104	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1687897	82921078
ERR3324578	I5604	SAMEA5607621	Ancient Central and South Asia	ERX3349313	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3324578/ERR3324578.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324578/I5604.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324578/I5604.bam.bai	172e50e8cfbf117f510e0081153d13c5;f559d47c6320d8d3ee013107fd20fcc5	389655277;6037488	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	6697467	402164742
ERR3324579	I4161	SAMEA5607652	Ancient Central and South Asia	ERX3349314	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/009/ERR3324579/ERR3324579.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324579/I4161.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324579/I4161.bam.bai	bae781bcc6ba096a29d82e56c31eab47;3af36061fb83739c499c69710b2c1188	308383872;5947888	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	5755772	321047339
ERR3324588	I1793	SAMEA5607704	Ancient Central and South Asia	ERX3349323	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3324588/ERR3324588.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324588/I1793.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324588/I1793.bam.bai	b9bae364d372019c1715be5a9a816b7d;a9d2a90405115a2c87080cb03e758271	24986980;5044688	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	431639	24381856
ERR3324595	I10410	SAMEA5607711	Ancient Central and South Asia	ERX3349330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324595/ERR3324595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324595/I10410.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324595/I10410.bam.bai	753f79f4c3e74cf428d0f6c01a39eba8;8ea2753184dd1f3bdb1cf534becb1704	115809799;5794272	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1953658	107621932
ERR3324596	I2085	SAMEA5607712	Ancient Central and South Asia	ERX3349331	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324596/ERR3324596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324596/I2085.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324596/I2085.bam.bai	69fb5de6dedfe163d449291b87f087e2;86de4d2a40408fe6d23eec6255717699	29729296;5180312	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	502508	29666262
ERR3324602	I10411	SAMEA5607718	Ancient Central and South Asia	ERX3349337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324602/ERR3324602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324602/I10411.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324602/I10411.bam.bai	12daddec39140ab66e575393ae7a0ff5;b76f9625927435fa85fabb54f88c9bbf	150642623;5852208	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	2607488	132328769
ERR3324603	I11042	SAMEA5607719	Ancient Central and South Asia	ERX3349338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324603/ERR3324603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324603/I11042.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324603/I11042.bam.bai	3d555d507dfab345362867aefae16797;32a28a8611b638630ab7ab2efce44c12	11929384;4111160	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	233352	9020107
ERR3324606	I7416	SAMEA5607943	Ancient Central and South Asia	ERX3349341	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324606/ERR3324606.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324606/I7416.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324606/I7416.bam.bai	3bd1d6f4c52a00c7556942017e59c1c0;1275f3a9a7d3f2651bc0c666578c5142	643431939;6165000	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	11929798	691434348
ERR3324613	I7420	SAMEA5607950	Ancient Central and South Asia	ERX3349348	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324613/ERR3324613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324613/I7420.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324613/I7420.bam.bai	02e45bde043b5d1eae9afb6796ad58c4;fc4c7bfbd6c7130d8a8fa7dd5d16e04b	892525824;6371776	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	16541621	921104658
ERR3324615	I7492	SAMEA5607952	Ancient Central and South Asia	ERX3349350	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324615/ERR3324615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324615/I7492.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324615/I7492.bam.bai	c351381a7f8423dabbcc05871e413d1c;bb9417f43090dc30bf8d3ee6ea0a477b	713576814;6228504	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	13222998	771789796
ERR3324618	I4314	SAMEA5607659	Ancient Central and South Asia	ERX3349353	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3324618/ERR3324618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324618/I4314.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324618/I4314.bam.bai	bde94735bed5c2c5fd214a09589b9e9e;142170a4827ab7796bc7f6138afe4551	1942815;2185448	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	36662	1575929
ERR3324620	I3365	SAMEA5607722	Ancient Central and South Asia	ERX3349355	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3324620/ERR3324620.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324620/I3365.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324620/I3365.bam.bai	236a51091f7621bed30b9d1bf8c29b78;4244946460becdef28f5c30dd53113c6	5813003;3169888	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	101782	5331544
ERR3324621	I7102	SAMEA5607723	Ancient Central and South Asia	ERX3349356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/001/ERR3324621/ERR3324621.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324621/I7102.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324621/I7102.bam.bai	e7e10b855e592f6add368149ea6a9570;1724319f1b932ef0d0a4ca63aa164241	5375728;3101432	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	93423	4915281
ERR3324624	I6126	SAMEA5607726	Ancient Central and South Asia	ERX3349359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/004/ERR3324624/ERR3324624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324624/I6126.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324624/I6126.bam.bai	d3fc52ca16f7207f6c76a28f2a9f0470;952b010d33ee86e162e4263aafaf8c9c	3105547;2519720	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	59038	2683386
ERR3324626	I11040	SAMEA5607728	Ancient Central and South Asia	ERX3349361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324626/ERR3324626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324626/I11040.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324626/I11040.bam.bai	e82483edbf56981166a9026b5c0b6e97;feb932eaadf7bb8d605315e55889ac84	718869;1719656	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	13009	596594
ERR3324634	I7101	SAMEA5607737	Ancient Central and South Asia	ERX3349369	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/004/ERR3324634/ERR3324634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324634/I7101.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324634/I7101.bam.bai	e98f163fe323be991e2c0d70a59c3dac;9b3c56cde75ec0791d2125b40e3d08a8	6136017;3409520	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	123864	4900717
ERR3324640	I8525	SAMEA5607696	Ancient Central and South Asia	ERX3349375	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3324640/ERR3324640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324640/I8525.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324640/I8525.bam.bai	2c48b7e3d3ba880772a1c0c937186086;a4edf753193328faa756397ed309df32	40446279;5504568	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	755825	37490672
ERR3324642	I1789	SAMEA5607743	Ancient Central and South Asia	ERX3349377	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324642/ERR3324642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324642/I1789.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324642/I1789.bam.bai	fdffcd4b8808423f2c4f380b916ba557;bd117c7b74a74215ce90399c3cc1e50f	10785657;4064256	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	201742	9689556
ERR3324644	I6124	SAMEA5607747	Ancient Central and South Asia	ERX3349379	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/004/ERR3324644/ERR3324644.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324644/I6124.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324644/I6124.bam.bai	5311b4b89911c99832adfb402d1351f2;b5bdbec9435d2d8c6eb1d50bd61e6b46	25046014;5038136	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	419946	24703478
ERR3324654	I11737	SAMEA5607893	Ancient Central and South Asia	ERX3349389	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/004/ERR3324654/ERR3324654.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324654/I11737.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324654/I11737.bam.bai	f70a11b133100b0f1017a170e60dfe03;d5bd89fbfb0f7f9886172064d4779844	997888323;6258376	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	18263326	992412640
ERR3324656	I11541	SAMEA5607698	Ancient Central and South Asia	ERX3349391	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324656/ERR3324656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324656/I11541.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324656/I11541.bam.bai	991252164c4e6adbd8062309e29cfa16;d7527231d465df72ea307d76724bd185	456396989;6027096	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	8666221	415010356
ERR3324659	I4782	SAMEA5607807	Ancient Central and South Asia	ERX3349394	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/009/ERR3324659/ERR3324659.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324659/I4782.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324659/I4782.bam.bai	51b3e14cb55d1679296da37aa5b0f0ef;d0741bdc29d5232f19537e8d335d1d9d	675579374;6125752	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	13090375	753902411
ERR3324660	I4321	SAMEA5607808	Ancient Central and South Asia	ERX3349395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3324660/ERR3324660.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324660/I4321.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324660/I4321.bam.bai	c1f996a7e104c39cf6a8ee7bb5bc08b4;d88d9d851878133f137680db951c1457	613729787;6108840	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	11561769	665841227
ERR3324662	I4322	SAMEA5607810	Ancient Central and South Asia	ERX3349397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324662/ERR3324662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324662/I4322.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324662/I4322.bam.bai	ccacda4df492f6a57f37856b5062ec5b;f5e44940970a268898bc0e5cc8d87045	164614044;5852152	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	3144757	161351011
ERR3324663	I11214	SAMEA5607814	Ancient Central and South Asia	ERX3349398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324663/ERR3324663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324663/I11214.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324663/I11214.bam.bai	8069245cf9ee7632733e0d9b45170bc7;2fb14d2186f79e74f8402a40ce66059c	82918713;5783032	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1546145	74787390
ERR3324666	I6716	SAMEA5607817	Ancient Central and South Asia	ERX3349401	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324666/ERR3324666.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324666/I6716.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324666/I6716.bam.bai	cb00938d754ea8aba9a1447307dfbbc3;008c04319eb29b0aa7a8e7e153afd251	841083139;6202384	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	16313130	837700724
ERR3324671	I1853	SAMEA5607822	Ancient Central and South Asia	ERX3349406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/001/ERR3324671/ERR3324671.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324671/I1853.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324671/I1853.bam.bai	933b4554e0396d40ef82b63dd13f2e58;73d4a1f0086af49d4a616d00f6b76834	44163616;5471832	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	860424	40529910
ERR3324673	I1821	SAMEA5607824	Ancient Central and South Asia	ERX3349408	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324673/ERR3324673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324673/I1821.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324673/I1821.bam.bai	d54d74a00d2f187d50860de41dd19e6e;80f0ac9242dc3b56a0c3bb6e50e5908c	138145845;5865856	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	2451016	142085496
ERR3324675	I3392	SAMEA5607826	Ancient Central and South Asia	ERX3349410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324675/ERR3324675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324675/I3392.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324675/I3392.bam.bai	58af75518f2d28827bc8530d32611caf;4c6c6a525eefa71eb3bd8655a90dbf86	419584535;6049672	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	7478534	461993992
ERR3324681	I4789	SAMEA5607898	Ancient Central and South Asia	ERX3349416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/001/ERR3324681/ERR3324681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324681/I4789.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324681/I4789.bam.bai	c82cc069225397397296553fdf0947c1;7653cf234fd739a3d04112134e395923	692054361;6138544	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	12632909	839751677
ERR3324682	I7060	SAMEA5607899	Ancient Central and South Asia	ERX3349417	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324682/ERR3324682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324682/I7060.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324682/I7060.bam.bai	b8c11790af93284a5b8e7296d1c15080;a3dcafb49b1accc4235fff39308ecf97	300452252;5981032	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	5050124	311580832
ERR3324683	I4790	SAMEA5607900	Ancient Central and South Asia	ERX3349418	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324683/ERR3324683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324683/I4790.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324683/I4790.bam.bai	8d5b2625e42c85088f00e9397c342cab;5ac625bb88a5c859344fe541ba08aafb	541734580;6046560	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	9933856	661759320
ERR3324686	I10110	SAMEA5607981	Ancient Central and South Asia	ERX3349421		ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324686/I10110.bam	d74fa255e6471639fb16cebd856d5f78	582669927	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	11937527	633225857
ERR3324689	I4787	SAMEA5608050	Ancient Central and South Asia	ERX3349424	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/009/ERR3324689/ERR3324689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324689/I4787.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324689/I4787.bam.bai	fec3880975ba8f995662cf4660fb9b8d;7d87d4e8475b03fbd1d88699da7ccc23	735611075;6167032	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	14087398	835874193
ERR3324693	I3447	SAMEA5607644	Ancient Central and South Asia	ERX3349428	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/003/ERR3324693/ERR3324693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324693/I3447.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324693/I3447.bam.bai	3f27bcfe2df56ef33d71ed898e3dfd54;64be151c6be997b6c9fe49b6efa2cbef	605814478;6115352	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	10826014	681846058
ERR3324695	I7527	SAMEA5607664	Ancient Central and South Asia	ERX3349430	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324695/ERR3324695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324695/I7527.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324695/I7527.bam.bai	4637d9659ec9c76e57f7de1ba9a7d045;004111b71e43cfa31b2d2c7d614b0813	67182721;5720016	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1266056	57596717
ERR3324696	I1951	SAMEA5607665	Ancient Central and South Asia	ERX3349431	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324696/ERR3324696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324696/I1951.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324696/I1951.bam.bai	908664b003391eb4dbe713fefa1ea97d;076e2306a14416ee934a00418c3805f7	145230740;5770832	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	3352503	122754270
ERR3324697	I1944	SAMEA5607666	Ancient Central and South Asia	ERX3349432	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/007/ERR3324697/ERR3324697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324697/I1944.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324697/I1944.bam.bai	ec4db311d68c4603f3159ad3675b3aee;193077f9dd1921e19e6ad9f9bcde90aa	34292868;5340576	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	667508	28744592
